Thu 29 Aug 2024 04:51:34 IDT

SLURM_JOBID:		 969638
SLURM_JOB_NODELIST:	 ise-cpu-intl-21 


executing python ./train_darpatc.py --scene trace
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-08-29 04:52:05
Data(edge_index=[2, 3572351], test_mask=[1271939], train_mask=[1271939], x=[1271939, 46], y=[1271939])
feature  46 ; label  11
10 1.3551777132100389 0.41250380627273747 2024-08-29 06:09:15
11 1.3405172545181945 0.4131128099107329 2024-08-29 06:09:24
12 1.3277977485275556 0.4134814173758354 2024-08-29 06:09:34
13 1.3180225770083778 0.4130487042646281 2024-08-29 06:09:43
14 1.3250768732516023 0.41314486273378526 2024-08-29 06:09:52
15 1.2989395072044183 0.4137218135487283 2024-08-29 06:10:00
16 1.2908995718287855 0.41370578713720213 2024-08-29 06:10:10
17 1.2992509750150125 0.41490776800166673 2024-08-29 06:10:19
18 1.281050510675263 0.41397823613314744 2024-08-29 06:10:28
19 1.2745825073983705 0.4144430020674071 2024-08-29 06:10:37
20 1.2696947510533583 0.4142026058945142 2024-08-29 06:10:46
21 1.2650131033707068 0.41566100934339795 2024-08-29 06:10:55
22 1.2612738817347997 0.416077696043079 2024-08-29 06:11:04
23 1.2559243066304349 0.4165104091542863 2024-08-29 06:11:13
24 1.250288342824702 0.41689504303091496 2024-08-29 06:11:22
25 1.2490037972933552 0.415997563985448 2024-08-29 06:11:31
26 1.245118456528615 0.417471993845858 2024-08-29 06:11:40
27 1.2442204647725852 0.41522829623219065 2024-08-29 06:11:49
28 1.2431229970729403 0.4160937224546052 2024-08-29 06:11:58
29 1.530100388817465 0.4149879000592977 2024-08-29 06:12:07
30 1.7948928105173363 0.4173758353767008 2024-08-29 06:12:16
31 1.232010757042196 0.4167027260926006 2024-08-29 06:12:26
32 1.2296013201169713 0.41785662772248666 2024-08-29 06:12:35
33 1.2302098927124248 0.41820920877606294 2024-08-29 06:12:44
34 1.2291583609179406 0.41838549930285107 2024-08-29 06:12:53
35 1.2230555314537173 0.41848165777200824 2024-08-29 06:13:02
36 1.2204393185218416 0.41896245011779415 2024-08-29 06:13:11
37 1.2222584602223232 0.4202766158629421 2024-08-29 06:13:21
38 1.2181826288456286 0.41934708399442283 2024-08-29 06:13:29
39 1.2188073127761163 0.4190586085869513 2024-08-29 06:13:38
40 1.2168672449426727 0.42019648380531116 2024-08-29 06:13:47
41 1.2121578062688938 0.4205170120358351 2024-08-29 06:13:56
42 1.2109098882154141 0.42018045739378496 2024-08-29 06:14:05
43 1.2488548692026198 0.4174078881997532 2024-08-29 06:14:14
44 1.2138776023248405 0.41713543920380786 2024-08-29 06:14:23
45 1.2142525583069559 0.41784060131096046 2024-08-29 06:14:32
46 1.2139949738250484 0.4177444428418033 2024-08-29 06:14:41
47 1.2119219532925698 0.4173437825536484 2024-08-29 06:14:50
48 1.2864730028257345 0.41811305030690576 2024-08-29 06:14:59
49 1.2054774917402196 0.41822523518758914 2024-08-29 06:15:08
50 1.2067723763222697 0.41883423882558457 2024-08-29 06:15:17
51 1.206509092407108 0.41918681987916084 2024-08-29 06:15:26
52 1.2022351998519556 0.4202605894514159 2024-08-29 06:15:35
53 1.2002587580101203 0.4212061477314614 2024-08-29 06:15:44
54 1.198698574211635 0.4209336987355161 2024-08-29 06:15:53
55 1.200844393872427 0.4201163517476802 2024-08-29 06:16:02
56 1.1958942610608012 0.4206291969165184 2024-08-29 06:16:11
57 1.1989202669557628 0.4210298572046733 2024-08-29 06:16:20
58 1.199144231401342 0.4209497251470423 2024-08-29 06:16:29
59 1.1957312719633593 0.4216068080196163 2024-08-29 06:16:38
60 1.636919359781632 0.42143051749282817 2024-08-29 06:16:47
61 1.296411050744039 0.4213503854351972 2024-08-29 06:16:56
62 1.193597897750868 0.42110998926230425 2024-08-29 06:17:05
63 1.1927464732982862 0.4216548872541949 2024-08-29 06:17:14
64 1.1948406086202321 0.42019648380531116 2024-08-29 06:17:23
65 1.1946844178491585 0.4205170120358351 2024-08-29 06:17:32
66 1.1922955054977906 0.4209657515585685 2024-08-29 06:17:40
67 1.1905755901905233 0.42152667596198534 2024-08-29 06:17:49
68 1.1887605415352767 0.42195938907319264 2024-08-29 06:17:58
69 1.189625651417576 0.4216709136657211 2024-08-29 06:18:08
70 1.1879269109868216 0.42192733625014023 2024-08-29 06:18:16
71 1.1900477376368508 0.4217510457233521 2024-08-29 06:18:25
72 1.1908095671350833 0.42184720419250926 2024-08-29 06:18:34
73 1.1888594999335058 0.42181515136945685 2024-08-29 06:18:43
74 1.1879568863009036 0.42282481529560717 2024-08-29 06:18:52
75 1.193878501577729 0.4202605894514159 2024-08-29 06:19:01
76 1.191380281063361 0.42072535538567557 2024-08-29 06:19:10
77 1.1896954548806546 0.4214625703158806 2024-08-29 06:19:19
78 1.1908759481756306 0.4217029664887735 2024-08-29 06:19:28
79 1.185488785159743 0.42159078160809016 2024-08-29 06:19:37
80 1.1889326419100819 0.4216548872541949 2024-08-29 06:19:46
81 1.186098293797535 0.4217830985464045 2024-08-29 06:19:55
82 1.187155224798291 0.42183117778098306 2024-08-29 06:20:04
83 1.1880006293489194 0.421991441896245 2024-08-29 06:20:13
84 1.1862507046538537 0.4229850794108691 2024-08-29 06:20:22
85 1.18427693545804 0.4236581886949693 2024-08-29 06:20:31
86 1.1816783033468148 0.42282481529560717 2024-08-29 06:20:40
87 1.179474640722116 0.42295302658781675 2024-08-29 06:20:49
88 1.186210647082809 0.42348189816818116 2024-08-29 06:20:58
89 1.1809663782861481 0.42391461127938845 2024-08-29 06:21:07
90 1.1818981450121817 0.4230011058223953 2024-08-29 06:21:16
91 1.1813462493927724 0.42316136993765724 2024-08-29 06:21:25
92 1.1839393846235597 0.42226389089219035 2024-08-29 06:21:34
93 1.1815354372940474 0.4226805775918714 2024-08-29 06:21:43
94 1.1848309016245682 0.42030866868599454 2024-08-29 06:21:52
95 1.3117952412121654 0.41952337452121097 2024-08-29 06:22:01
96 1.1952185981431878 0.4202766158629421 2024-08-29 06:22:10
97 1.191339689655476 0.4208054874433066 2024-08-29 06:22:19
98 1.1898895622776557 0.40998765966312484 2024-08-29 06:22:28
99 1.221490676581448 0.42154270237351155 2024-08-29 06:22:37
100 1.1940219984155134 0.4216709136657211 2024-08-29 06:22:46
