Sun 01 Sep 2024 10:29:51 IDT

SLURM_JOBID:		 986862
SLURM_JOB_NODELIST:	 ise-cpu-intl-13 


executing python ./train_darpatc.py --scene theia
rm: cannot remove 'result_*': No such file or directory
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-09-01 10:30:11
Data(edge_index=[2, 9388492], test_mask=[304973], train_mask=[304973], x=[304973, 36], y=[304973])
feature  36 ; label  5
6 0.9952912536333006 0.3493083694285315 2024-09-01 11:38:05
9314
5000
1 1.1104040678821716 0.24758428172643332 2024-09-01 11:38:16
2 1.082882761801674 0.8340133132918187 2024-09-01 11:38:19
3 1.0294590379282054 0.8487223534464248 2024-09-01 11:38:22
4 0.9031056340016699 0.7980459523298261 2024-09-01 11:38:25
1881
7433
1 1.6555135250091553 0.17809675704412548 2024-09-01 11:38:30
2 1.8823885917663574 0.2355130249867092 2024-09-01 11:38:32
3 1.410233974456787 0.21052631578947367 2024-09-01 11:38:34
4 1.5540573596954346 0.05901116427432217 2024-09-01 11:38:37
5 1.4894180297851562 0.17065390749601275 2024-09-01 11:38:39
6 1.3991825580596924 0.22381711855396066 2024-09-01 11:38:41
7 1.4654748439788818 0.11004784688995216 2024-09-01 11:38:43
8 1.8227980136871338 0.014885699096225412 2024-09-01 11:38:46
9 1.4501523971557617 0.019138755980861243 2024-09-01 11:38:48
10 1.3156198263168335 0.018607123870281767 2024-09-01 11:38:50
11 1.5476044416427612 0.018607123870281767 2024-09-01 11:38:52
12 1.408530354499817 0.04891015417331207 2024-09-01 11:38:55
13 1.5225285291671753 0.19829877724614567 2024-09-01 11:38:57
14 1.5070279836654663 0.35513024986709196 2024-09-01 11:38:59
15 1.1833606958389282 0.42371079213184476 2024-09-01 11:39:02
16 1.4557080268859863 0.4609250398724083 2024-09-01 11:39:04
17 1.3840093612670898 0.27698032961190855 2024-09-01 11:39:06
18 1.3347829580307007 0.27751196172248804 2024-09-01 11:39:09
19 1.3946077823638916 0.27804359383306754 2024-09-01 11:39:11
20 1.2638366222381592 0.39712918660287083 2024-09-01 11:39:13
21 1.2455719709396362 0.47208931419457734 2024-09-01 11:39:15
22 1.1772308349609375 0.4731525784157363 2024-09-01 11:39:18
23 1.0955567359924316 0.47421584263689526 2024-09-01 11:39:20
24 1.2136526107788086 0.4678362573099415 2024-09-01 11:39:22
25 1.1463823318481445 0.4688995215311005 2024-09-01 11:39:24
26 1.183729648590088 0.4556087187666135 2024-09-01 11:39:27
27 1.1850018501281738 0.480595427963849 2024-09-01 11:39:29
28 1.0783101320266724 0.480595427963849 2024-09-01 11:39:31
29 0.9988718628883362 0.4864433811802233 2024-09-01 11:39:34
966
915
1 1.396220326423645 0.16459627329192547 2024-09-01 11:39:37
2 1.1849193572998047 0.5652173913043478 2024-09-01 11:39:39
3 1.1086074113845825 0.5900621118012422 2024-09-01 11:39:41
4 1.0326042175292969 0.6024844720496895 2024-09-01 11:39:43
5 1.079750418663025 0.6304347826086957 2024-09-01 11:39:45
6 1.0697941780090332 0.6863354037267081 2024-09-01 11:39:47
7 1.023364543914795 0.7039337474120083 2024-09-01 11:39:49
8 0.9148848056793213 0.6966873706004141 2024-09-01 11:39:51
293
673
1 1.321655511856079 0.0 2024-09-01 11:39:54
2 1.709261417388916 0.14334470989761092 2024-09-01 11:39:56
3 1.5061050653457642 0.19795221843003413 2024-09-01 11:39:58
4 1.2289413213729858 0.20819112627986347 2024-09-01 11:40:00
5 1.2275246381759644 0.1945392491467577 2024-09-01 11:40:02
6 1.3549057245254517 0.19795221843003413 2024-09-01 11:40:04
7 1.2996057271957397 0.19795221843003413 2024-09-01 11:40:06
8 1.2181816101074219 0.19795221843003413 2024-09-01 11:40:08
9 1.2489577531814575 0.2150170648464164 2024-09-01 11:40:10
10 1.1589399576187134 0.19112627986348124 2024-09-01 11:40:12
11 1.1811368465423584 0.19112627986348124 2024-09-01 11:40:15
12 1.2062348127365112 0.19112627986348124 2024-09-01 11:40:17
