Thu 29 Aug 2024 04:51:59 IDT

SLURM_JOBID:		 969639
SLURM_JOB_NODELIST:	 ise-cpu-intl-18 


executing python ./train_darpatc.py --scene cadets
rm: cannot remove 'result_*': No such file or directory
Start training graph 0 2024-08-29 04:52:10
Data(edge_index=[2, 4347080], test_mask=[362645], train_mask=[362645], x=[362645, 56], y=[362645])
feature  56 ; label  6
16 1.1319081783294678 0.4706681766704417 2024-08-29 07:04:32
17 1.1246376037597656 0.47180067950169874 2024-08-29 07:04:43
18 1.1338952779769897 0.47134767836919594 2024-08-29 07:04:53
19 1.1316291093826294 0.47134767836919594 2024-08-29 07:05:02
20 1.1027624607086182 0.47315968289920723 2024-08-29 07:05:12
21 1.1264991760253906 0.47565118912797283 2024-08-29 07:05:21
22 1.1099283695220947 0.47565118912797283 2024-08-29 07:05:31
23 1.1009594202041626 0.4774631936579841 2024-08-29 07:05:41
24 1.1090487241744995 0.4774631936579841 2024-08-29 07:05:50
25 1.0937308073043823 0.4770101925254813 2024-08-29 07:06:00
26 1.0991525650024414 0.4774631936579841 2024-08-29 07:06:10
27 1.1154084205627441 0.4774631936579841 2024-08-29 07:06:20
28 1.0992248058319092 0.47791619479048697 2024-08-29 07:06:28
29 1.0835371017456055 0.47791619479048697 2024-08-29 07:06:37
30 1.091219186782837 0.5236693091732729 2024-08-29 07:06:45
31 1.1015032529830933 0.5238958097395243 2024-08-29 07:06:53
32 1.0970990657806396 0.5238958097395243 2024-08-29 07:07:02
33 1.0891022682189941 0.5243488108720272 2024-08-29 07:07:10
34 1.120158076286316 0.5245753114382786 2024-08-29 07:07:18
35 1.100183367729187 0.5250283125707814 2024-08-29 07:07:26
36 1.1050187349319458 0.5268403171007927 2024-08-29 07:07:35
37 1.0967187881469727 0.5266138165345413 2024-08-29 07:07:43
38 1.0959991216659546 0.5266138165345413 2024-08-29 07:07:51
39 1.0955103635787964 0.527519818799547 2024-08-29 07:07:59
40 1.0939708948135376 0.5284258210645527 2024-08-29 07:08:08
41 1.0848939418792725 0.5284258210645527 2024-08-29 07:08:16
42 1.0817856788635254 0.5295583238958097 2024-08-29 07:08:24
43 1.1001542806625366 0.530237825594564 2024-08-29 07:08:32
44 1.1159179210662842 0.530237825594564 2024-08-29 07:08:40
45 1.0871350765228271 0.530237825594564 2024-08-29 07:08:49
46 1.079819917678833 0.530237825594564 2024-08-29 07:08:57
47 1.0801539421081543 0.530237825594564 2024-08-29 07:09:05
48 1.0888694524765015 0.530237825594564 2024-08-29 07:09:14
49 1.0749120712280273 0.5377123442808607 2024-08-29 07:09:22
50 1.0779249668121338 0.5381653454133636 2024-08-29 07:09:31
51 1.085836410522461 0.5388448471121178 2024-08-29 07:09:39
52 1.0835621356964111 0.5390713476783692 2024-08-29 07:09:47
53 1.07830011844635 0.5390713476783692 2024-08-29 07:09:56
54 1.0772632360458374 0.5397508493771235 2024-08-29 07:10:04
55 1.0894920825958252 0.5472253680634201 2024-08-29 07:10:12
56 1.0792487859725952 0.5476783691959229 2024-08-29 07:10:21
57 1.0842918157577515 0.5474518686296715 2024-08-29 07:10:29
58 1.0790640115737915 0.5472253680634201 2024-08-29 07:10:37
59 1.0787938833236694 0.5472253680634201 2024-08-29 07:10:46
60 1.0698606967926025 0.5474518686296715 2024-08-29 07:10:54
